image,x,y,w,h,facenet_name,facenet_dist,eigen_name,eigen_dist,gt_name
06.jpg,308,75,42,42,ranimukherji,0.04978342726826668,mammukoya,2734.409912109375,aamirkhan
06.jpg,418,79,42,42,trisha,0.03325651213526726,vajramuni,2713.961669921875,aamirkhan
06.jpg,12,8,146,146,ashwath,0.12600305676460266,ali,3469.068359375,aamirkhan
07.jpg,410,22,61,61,svr,0.10815069824457169,jayabhaduri,4646.93994140625,aamirkhan
07.jpg,514,34,62,62,kareenakapoor,0.08255847543478012,sharmilatagore,3958.056640625,aamirkhan
07.jpg,293,50,55,55,avinash,0.0943460762500763,sureshgopi,4925.17041015625,aamirkhan
07.jpg,78,43,57,57,dwarkish,0.16731469333171844,annapoorna,4357.19970703125,aamirkhan
07.jpg,181,46,65,65,trisha,0.08235171437263489,kajol,5033.76953125,aamirkhan
08.jpg,123,86,107,107,madhuridixit,0.10354539752006531,svr,2506.948486328125,aamirkhan
08.jpg,622,162,82,82,leelavathi,0.08594755828380585,shilpashetty,2535.213134765625,aamirkhan
08.jpg,331,132,89,89,jamuna,0.07819890975952148,prema,3326.07177734375,aamirkhan
08.jpg,462,110,103,103,innocent,0.06531262397766113,jagathi,2557.481201171875,aamirkhan
08.jpg,769,148,89,89,rameshbhatt,0.07007170468568802,prema,3375.6318359375,aamirkhan
09.jpg,70,75,37,37,umashri,0.21330325305461884,vishnuvardhan,3938.994873046875,aamirkhan
09.jpg,140,29,49,49,madhuridixit,0.054093312472105026,svr,2944.22802734375,aamirkhan
09.jpg,89,69,49,49,soundarya,0.039130907505750656,jamuna,3413.3271484375,aamirkhan
09.jpg,142,105,74,74,kavyamadhavan,0.036726243793964386,leelavathi,3462.72314453125,aamirkhan
10.jpg,507,60,52,52,rameshbhatt,0.06100350618362427,vajramuni,2822.1474609375,aamirkhan
10.jpg,672,47,53,53,rishikapoor,0.04581126943230629,aarthi,2798.75830078125,aamirkhan
10.jpg,571,9,57,57,ranimukherji,0.062098901718854904,rakheegulzar,2856.892822265625,aamirkhan
10.jpg,310,73,57,57,madhu,0.08412621170282364,prema,3497.337646484375,aamirkhan
10.jpg,46,17,62,62,sharukhkhan,0.0865795761346817,shilpashetty,3216.67333984375,aamirkhan
10.jpg,83,121,56,56,madhuridixit,0.044890593737363815,ramaprabha,2655.51904296875,aamirkhan
10.jpg,221,10,60,60,jamuna,0.06557579338550568,shobana,2848.526611328125,aamirkhan
10.jpg,637,405,61,61,pavithralokesh,0.05723512917757034,bhanupriya,1661.2030029296875,aamirkhan
10.jpg,570,192,85,85,msnarayana,0.018648305907845497,cochinhaneefa,2376.443359375,aamirkhan
10.jpg,550,270,175,175,jayram,0.0372682549059391,ramaprabha,4000.902099609375,aamirkhan
10.jpg,406,29,57,57,kavyamadhavan,0.049825578927993774,innocent,3006.6083984375,aamirkhan
12.jpg,89,15,39,39,anr,0.0345718152821064,vajramuni,3082.6669921875,ajaydevgn
12.jpg,36,115,34,34,jamuna,0.061925143003463745,faridajalal,4169.99951171875,ajaydevgn
12.jpg,36,29,35,35,trisha,0.07340583950281143,soundarya,3594.073486328125,ajaydevgn
12.jpg,153,49,38,38,joseprakash,0.03757745400071144,vishnuvardhan,2873.361083984375,ajaydevgn
14.jpg,315,23,77,77,siddique,0.15500646829605103,anupamkher,4257.8935546875,ajaydevgn
14.jpg,197,84,60,60,balakrishna,0.11974631994962692,simran,3428.259033203125,ajaydevgn
14.jpg,29,66,70,70,aamairkhan,0.2050357609987259,cochinhaneefa,4242.86767578125,ajaydevgn
15.jpg,240,141,65,65,kajalagarwal,0.04830344766378403,ntr,2702.41748046875,ajaydevgn
15.jpg,344,156,71,71,trisha,0.06328435242176056,jayaprakash,2785.165771484375,ajaydevgn
15.jpg,167,181,62,62,venkatesh,0.047404177486896515,trisha,2554.87548828125,ajaydevgn
15.jpg,459,138,78,78,jayaprakash,0.0677671879529953,amrishpuri,2974.339599609375,ajaydevgn
15.jpg,74,172,79,79,sureshgopi,0.03675103560090065,kviswanath,2966.60888671875,ajaydevgn
15.jpg,571,180,67,67,sharmilatagore,0.0391664132475853,premanazir,2648.4677734375,ajaydevgn
16.jpg,465,54,57,57,svr,0.0378715954720974,premanazir,2811.308837890625,irrfankhan
16.jpg,245,98,55,55,ranimukherji,0.09080857783555984,jamuna,3162.673828125,irrfankhan
16.jpg,291,118,59,59,jamuna,0.07184632867574692,siddique,3508.228271484375,irrfankhan
16.jpg,157,49,61,61,annapoorna,0.046202413737773895,hrithikroshan,3174.66650390625,irrfankhan
16.jpg,367,72,59,59,svr,0.04356619343161583,brahmanandam,3482.950927734375,irrfankhan
16.jpg,78,107,63,63,kajol,0.02394791878759861,prema,4074.179443359375,irrfankhan
17.jpg,187,62,77,77,brahmanandam,0.0014685058267787099,bhanupriya,1519.8994140625,irrfankhan
17.jpg,362,139,86,86,innocent,0.0643816590309143,lakshmidevi,2671.686279296875,irrfankhan
17.jpg,491,185,84,84,kavyamadhavan,0.04949773848056793,karunabenerjee,2990.67724609375,irrfankhan
17.jpg,603,146,92,92,ranimukherji,0.2640935778617859,nedumudivenu,2382.25634765625,irrfankhan
18.jpg,204,45,52,52,aamairkhan,0.026095973327755928,umashri,3144.05126953125,irrfankhan
18.jpg,417,47,56,56,kareenakapoor,0.05138891562819481,jamuna,4169.2431640625,irrfankhan
18.jpg,315,57,51,51,katrinakaif,0.04748139530420303,anupamkher,4593.47509765625,irrfankhan
18.jpg,505,85,49,49,kajol,0.09526997804641724,katrinakaif,4553.2236328125,irrfankhan
18.jpg,63,47,69,69,anupamkher,0.10325240343809128,amrishpuri,4285.224609375,irrfankhan
19.jpg,436,86,49,49,shobana,0.13804815709590912,shashikumar,4178.91943359375,irrfankhan
19.jpg,507,90,48,48,ntr,0.057990677654743195,ranimukherji,3499.893798828125,irrfankhan
19.jpg,263,52,45,45,venkatesh,0.0667688325047493,mallikarjunrao,3096.84912109375,irrfankhan
19.jpg,607,79,44,44,bomanirani,0.0742010697722435,shivaram,3359.42919921875,irrfankhan
19.jpg,222,95,45,45,madhu,0.07250485569238663,prema,3373.33349609375,irrfankhan
19.jpg,156,87,45,45,jamuna,0.06849922984838486,savithri,3148.261474609375,irrfankhan
19.jpg,343,31,56,56,relangi,0.05906005948781967,vinodkhanna,3401.344970703125,irrfankhan
19.jpg,91,121,50,50,annapoorna,0.07800988852977753,soundarya,3435.6806640625,irrfankhan
19.jpg,178,131,46,46,trisha,0.0819362923502922,ntr,3805.56103515625,irrfankhan
19.jpg,617,136,59,59,anr,0.07149700820446014,bharathi,3921.413818359375,irrfankhan
19.jpg,40,79,52,52,kajol,0.050384264439344406,ntr,3167.26318359375,irrfankhan
19.jpg,300,35,60,60,rajeshkhanna,0.13468553125858307,jayram,3332.705810546875,irrfankhan
19.jpg,374,203,50,50,suryakantham,0.038589611649513245,soundarya,3265.51904296875,irrfankhan
19.jpg,368,26,150,150,madhuridixit,0.29418882727622986,amrishpuri,5162.0908203125,irrfankhan
19.jpg,610,202,59,59,dileep,0.07634171843528748,shilpashetty,3496.248779296875,irrfankhan
19.jpg,414,283,53,53,rimisen,0.0768466666340828,bharathi,4122.98828125,irrfankhan
19.jpg,508,221,63,63,avinash,0.07629603892564774,relangi,3481.635498046875,irrfankhan
19.jpg,488,332,60,60,rajeshkhanna,0.2722913324832916,simran,3171.4873046875,irrfankhan
19.jpg,379,337,59,59,anilkapoor,0.05369804427027702,jamuna,4178.66845703125,irrfankhan
19.jpg,492,283,84,84,madhavan,0.10954394936561584,jayabhaduri,2548.38720703125,irrfankhan
20.jpg,268,58,60,60,kavyamadhavan,0.02580925077199936,ambresh,3654.75341796875,irrfankhan
20.jpg,103,61,60,60,faridajalal,0.042465467005968094,nedumudivenu,4254.802734375,irrfankhan
20.jpg,381,30,63,63,shivaram,0.06270574778318405,ramaprabha,3342.201171875,irrfankhan
21.jpg,41,50,65,65,rajeshkhanna,0.0852481946349144,suryakantham,3586.64013671875,kareenakapoor
22.jpg,365,54,46,46,sharmilatagore,0.07436104863882065,kajol,3494.88916015625,kareenakapoor
22.jpg,529,58,52,52,sharukhkhan,0.03523772209882736,prema,3327.48974609375,kareenakapoor
22.jpg,294,309,71,71,ramesharvind,4.104538675164804e-05,jagathi,1488.889892578125,kareenakapoor
23.jpg,64,72,33,33,sharukhkhan,0.048400476574897766,prema,3420.676513671875,kareenakapoor
23.jpg,128,72,34,34,mallikarjunrao,0.0534418448805809,joseprakash,2861.82861328125,kareenakapoor
24.jpg,295,27,46,46,jayram,0.12377295643091202,ramaprabha,4096.236328125,kareenakapoor
24.jpg,136,61,42,42,jamuna,0.03884676843881607,jayabhaduri,3332.51611328125,kareenakapoor
24.jpg,199,50,45,45,shivaram,0.21821199357509613,jamuna,4026.119384765625,kareenakapoor
24.jpg,48,15,48,48,balakrishna,0.0571221299469471,thilakan,4103.2841796875,kareenakapoor
25.jpg,746,350,45,45,ramaprabha,0.05750584602355957,savithri,4579.23291015625,kareenakapoor
25.jpg,509,194,203,203,aarthi,0.051952265202999115,karunabenerjee,3061.4716796875,kareenakapoor
25.jpg,141,194,247,247,shilpashetty,0.0388873815536499,ramyakrishna,3163.764892578125,kareenakapoor
25.jpg,1225,248,225,225,madhuridixit,0.03956305608153343,ntr,4069.963623046875,kareenakapoor
25.jpg,880,295,200,200,shilpashetty,0.028819428756833076,sharmilatagore,2920.946044921875,kareenakapoor
26.jpg,245,42,59,59,sureshgopi,0.02648208662867546,prema,3341.07763671875,kajol
26.jpg,478,38,58,58,suryakantham,0.0837961956858635,ranimukherji,3032.534912109375,kajol
26.jpg,121,65,56,56,msnarayana,0.06966374814510345,lakshmidevi,3593.388671875,kajol
26.jpg,344,62,58,58,faridajalal,0.03473469242453575,kajol,2735.55859375,kajol
27.jpg,378,83,92,92,pareshraval,0.03295407444238663,simran,2406.874267578125,kajol
27.jpg,561,150,81,81,lakshmidevi,0.05300723761320114,prema,2853.324951171875,kajol
27.jpg,204,90,84,84,nagarjuna,0.050996873527765274,shobana,2771.15380859375,kajol
27.jpg,698,83,96,96,sharmilatagore,0.10465160757303238,lakshmidevi,2555.635986328125,kajol
27.jpg,866,47,99,99,kajalagarwal,0.07101194560527802,shobana,2894.986083984375,kajol
27.jpg,702,196,85,85,savithri,0.06689794361591339,shobana,3114.403564453125,kajol
27.jpg,143,707,86,86,madhavan,0.13327479362487793,bhanupriya,1667.02490234375,kajol
28.jpg,24,110,52,52,jamuna,0.04580938071012497,katrinakaif,4306.3701171875,kajol
28.jpg,295,98,68,68,prema,0.04212017357349396,ranimukherji,4509.1298828125,kajol
28.jpg,122,81,68,68,sharmilatagore,0.068537637591362,umashri,3899.22802734375,kajol
28.jpg,223,74,65,65,mohanlal,0.05911914259195328,simran,4875.505859375,kajol
29.jpg,49,75,36,36,ramaprabha,1.9394743503653444e-05,ramaprabha,1803.9615478515625,kajol
29.jpg,174,108,63,63,sharmilatagore,0.03775133565068245,ntr,3507.013427734375,kajol
29.jpg,74,120,59,59,lakshmidevi,0.0570010207593441,prema,3312.03955078125,kajol
29.jpg,272,127,62,62,venkatesh,0.07004275918006897,ntr,3026.39404296875,kajol
29.jpg,365,142,64,64,bharathi,0.06189879775047302,rakheegulzar,3996.579345703125,kajol
30.jpg,487,98,62,62,katrinakaif,0.06615152955055237,svr,3083.870361328125,kajol
30.jpg,39,40,75,75,madhu,0.05230143293738365,soundarya,3109.557373046875,kajol
30.jpg,330,97,58,58,svr,0.05655039846897125,sharmilatagore,4201.1455078125,kajol
30.jpg,195,47,97,97,rimisen,0.059467244893312454,jamuna,4374.68603515625,kajol
31.jpg,264,88,61,61,jamuna,0.06238041818141937,soundarya,4180.349609375,madhuridixit
31.jpg,385,124,56,56,suryakantham,0.07320749014616013,aarthi,4385.74853515625,madhuridixit
31.jpg,190,136,56,56,aamairkhan,0.08314766734838486,prema,4322.212890625,madhuridixit
31.jpg,423,170,141,141,avinash,0.06057408079504967,simran,5161.521484375,madhuridixit
32.jpg,342,44,106,106,ntr,0.06716273725032806,sharmilatagore,4472.7998046875,madhuridixit
32.jpg,173,80,108,108,vinodkhanna,0.04444429650902748,katrinakaif,3718.87548828125,madhuridixit
32.jpg,356,90,85,85,madhavan,0.07738177478313446,katrinakaif,4932.5712890625,madhuridixit
32.jpg,177,208,147,147,brahmanandam,0.05454779416322708,rameshbhatt,3423.1064453125,madhuridixit
33.jpg,483,70,61,61,jamuna,0.08354868739843369,ntr,4858.5849609375,madhuridixit
33.jpg,150,97,65,65,madhuridixit,0.07260442525148392,kareenakapoor,4778.388671875,madhuridixit
33.jpg,262,141,64,64,aarthi,0.07441418617963791,ramanareddy,4617.1923828125,madhuridixit
33.jpg,390,68,73,73,kareenakapoor,0.07796940207481384,ashwath,4609.57568359375,madhuridixit
34.jpg,165,21,132,132,jayabhaduri,0.055997274816036224,trisha,3276.364501953125,madhuridixit
34.jpg,274,82,111,111,bharathi,0.026484910398721695,vajramuni,2964.245849609375,madhuridixit
35.jpg,33,68,40,40,shilpashetty,0.05368980020284653,prema,3756.721923828125,madhuridixit
35.jpg,294,80,38,38,relangi,0.04215775430202484,siddique,4911.20458984375,madhuridixit
35.jpg,328,47,35,35,jagadeesh,0.0854983925819397,ramyakrishna,4028.309814453125,madhuridixit
35.jpg,153,29,72,72,madhu,0.07528059929609299,ntr,4448.52734375,madhuridixit
36.jpg,54,40,78,78,jayabhaduri,0.26414936780929565,annapoorna,3108.803955078125,salmankhan
36.jpg,151,103,67,67,aamairkhan,0.10438226163387299,jamuna,2993.523681640625,salmankhan
37.jpg,289,76,50,50,shilpashetty,0.08305773884057999,shobana,3348.397705078125,salmankhan
37.jpg,116,30,55,55,sharukhkhan,0.08908120542764664,trisha,3233.459228515625,salmankhan
37.jpg,37,44,55,55,shobana,0.100250743329525,aarthi,3069.93896484375,salmankhan
38.jpg,104,38,38,38,bhanupriya,0.0709419772028923,nedumudivenu,2980.320068359375,salmankhan
38.jpg,24,16,43,43,svr,0.1404988318681717,balakrishna,3211.9970703125,salmankhan
39.jpg,402,52,41,41,premanazir,1.5038809578982182e-05,rakheegulzar,1265.4324951171875,salmankhan
39.jpg,272,34,66,66,jayaprakash,0.05593840405344963,kajol,2888.614501953125,salmankhan
39.jpg,141,51,48,48,bharathi,4.143741898587905e-05,babumohan,1706.854736328125,salmankhan
39.jpg,46,22,64,64,lakshmidevi,0.08993546664714813,lakshmidevi,2645.151123046875,salmankhan
39.jpg,468,28,72,72,madhuridixit,0.00011823534441646188,madhuridixit,2015.0181884765625,salmankhan
39.jpg,464,194,121,121,mukesh,2.8713970095850527e-05,babumohan,1298.1785888671875,salmankhan
40.jpg,429,80,76,76,sharmilatagore,0.06720846891403198,jamuna,2740.82421875,salmankhan
40.jpg,442,142,45,45,faridajalal,0.0454283133149147,rakheegulzar,2444.2001953125,salmankhan
40.jpg,526,76,65,65,kajol,0.09611645340919495,ramaprabha,2605.518798828125,salmankhan
40.jpg,151,31,97,97,jamuna,0.09820188581943512,relangi,3764.284912109375,salmankhan
40.jpg,269,72,104,104,joseprakash,0.036675747483968735,relangi,3924.98876953125,salmankhan
41.jpg,248,66,39,39,kareenakapoor,0.0754879042506218,jayabhaduri,3060.4365234375,varundhawan
41.jpg,181,100,47,47,ntr,0.07328952848911285,ntr,3421.3349609375,varundhawan
41.jpg,152,53,48,48,kajalagarwal,0.03453079238533974,prema,3577.60546875,varundhawan
41.jpg,92,73,51,51,umashri,0.09921185672283173,drrajkumar,2974.4482421875,varundhawan
42.jpg,297,100,63,63,sharmilatagore,0.04019128531217575,jayabhaduri,4260.8818359375,varundhawan
42.jpg,359,64,97,97,anr,0.04048965126276016,suryakantham,5361.60009765625,varundhawan
42.jpg,295,317,62,62,salmankhan,0.09977377206087112,ramyakrishna,4741.47998046875,varundhawan
42.jpg,226,79,81,81,prema,0.03344166278839111,ali,4418.4775390625,varundhawan
43.jpg,410,53,56,56,kajol,0.054189328104257584,ramesharvind,2995.05126953125,varundhawan
43.jpg,177,300,83,83,umashri,0.05556042119860649,ntr,3865.885009765625,varundhawan
43.jpg,278,86,61,61,joseprakash,0.07390972971916199,sharmilatagore,4663.09716796875,varundhawan
43.jpg,190,90,56,56,jamuna,0.07078729569911957,aarthi,4308.20703125,varundhawan
43.jpg,226,161,59,59,savithri,0.09936632961034775,vajramuni,4329.2978515625,varundhawan
44.jpg,328,264,62,62,aamairkhan,0.065514475107193,shobana,3506.052978515625,varundhawan
44.jpg,417,251,72,72,siddique,0.05725598707795143,faridajalal,3989.5458984375,varundhawan
44.jpg,1030,444,35,35,rajeshkhanna,0.07156522572040558,drrajkumar,2669.39453125,varundhawan
44.jpg,624,449,38,38,vajramuni,0.045050911605358124,kareenakapoor,3142.0166015625,varundhawan
44.jpg,96,399,37,37,anr,0.03127126768231392,aarthi,2348.20556640625,varundhawan
44.jpg,570,583,48,48,vishnuvardhan,0.16192783415317535,madhu,3403.04736328125,varundhawan
44.jpg,563,473,36,36,jamuna,0.08715047687292099,shashikumar,2956.3779296875,varundhawan
44.jpg,933,543,38,38,vishnuvardhan,0.0849783718585968,msnarayana,2243.34228515625,varundhawan
44.jpg,535,506,49,49,anr,0.0809624195098877,ntr,3461.763671875,varundhawan
44.jpg,710,510,44,44,leelavathi,0.16138528287410736,madhu,3007.345947265625,varundhawan
44.jpg,714,683,51,51,suryakantham,0.03536904230713844,prema,2972.806640625,varundhawan
44.jpg,883,560,49,49,vinodkhanna,0.021259918808937073,akshaykumar,3130.893798828125,varundhawan
44.jpg,1089,684,51,51,nagarjuna,0.054491691291332245,kavyamadhavan,2703.442626953125,varundhawan
44.jpg,692,567,46,46,relangi,0.05848688259720802,innocent,2678.764404296875,varundhawan
44.jpg,1077,501,39,39,katrinakaif,0.07544870674610138,jagadeesh,2403.52978515625,varundhawan
44.jpg,613,698,61,61,relangi,0.03572535887360573,savithri,3224.14208984375,varundhawan
44.jpg,809,733,58,58,soumithrachatterjee,0.031073523685336113,prema,2524.82861328125,varundhawan
44.jpg,568,759,70,70,madhu,0.046775929629802704,savithri,3120.028564453125,varundhawan
44.jpg,948,367,38,38,vajramuni,0.08106964081525803,bhanupriya,2344.8994140625,varundhawan
44.jpg,840,690,56,56,venkatesh,0.07795777916908264,relangi,2990.29638671875,varundhawan
44.jpg,206,312,33,33,vishnuvardhan,0.052776746451854706,nedumudivenu,3412.238525390625,varundhawan
44.jpg,159,457,306,306,soumithrachatterjee,0.03552943095564842,savithri,3935.96728515625,varundhawan
44.jpg,604,492,35,35,anupamkher,0.09938254207372665,kajol,3375.80224609375,varundhawan
44.jpg,568,432,34,34,aarthi,0.035529572516679764,jamuna,3639.258056640625,varundhawan
44.jpg,1118,546,44,44,suryakantham,0.0367501936852932,balakrishna,2357.49267578125,varundhawan
45.jpg,497,71,52,52,bhanupriya,3.339685281389393e-05,babumohan,1363.659912109375,varundhawan
45.jpg,404,81,57,57,rakheegulzar,0.05276075378060341,aamairkhan,2316.954833984375,varundhawan
45.jpg,229,135,59,59,aarthi,0.08948448300361633,rajeshkhanna,3699.695556640625,varundhawan
45.jpg,215,209,65,65,vishnuvardhan,0.05686142295598984,aarthi,3948.433349609375,varundhawan
45.jpg,474,140,69,69,madhuridixit,0.03651115670800209,ranimukherji,2165.534423828125,varundhawan
46.jpg,198,53,53,53,brahmanandam,0.08539369702339172,jayram,2867.96630859375,ayushmannkhurrana
46.jpg,523,25,53,53,leelavathi,0.008137490600347519,ambresh,2944.498291015625,ayushmannkhurrana
46.jpg,109,40,59,59,jagathi,0.026220396161079407,jayaprakash,3067.81591796875,ayushmannkhurrana
46.jpg,370,54,52,52,ali,0.10324501991271973,ambresh,2654.412353515625,ayushmannkhurrana
46.jpg,438,36,60,60,salmankhan,0.11597242206335068,thilakan,2876.3544921875,ayushmannkhurrana
46.jpg,281,57,66,66,prakashraj,0.0931742712855339,brahmanandam,3557.25146484375,ayushmannkhurrana
46.jpg,444,217,124,124,mallikarjunrao,0.13410837948322296,kviswanath,2604.158447265625,ayushmannkhurrana
47.jpg,431,225,33,33,rakheegulzar,0.08274991065263748,lakshmidevi,3635.94189453125,ayushmannkhurrana
47.jpg,91,141,40,40,mamootty,0.04042894393205643,aarthi,3236.15625,ayushmannkhurrana
47.jpg,273,102,53,53,mallikarjunrao,0.08313095569610596,salmankhan,4477.2099609375,ayushmannkhurrana
47.jpg,6,188,45,45,ramanareddy,0.08073335886001587,kajol,3953.1318359375,ayushmannkhurrana
47.jpg,326,131,50,50,bharathi,0.07089350372552872,aarthi,3766.14453125,ayushmannkhurrana
47.jpg,122,233,63,63,jamuna,0.07564856857061386,rajeshkhanna,3249.27392578125,ayushmannkhurrana
48.jpg,60,105,42,42,ranimukherji,0.09428039938211441,jamuna,2321.877685546875,ayushmannkhurrana
48.jpg,310,26,56,56,sharmilatagore,0.07238611578941345,faridajalal,4296.8857421875,ayushmannkhurrana
48.jpg,269,91,81,81,relangi,0.07696621865034103,joseprakash,3504.12158203125,ayushmannkhurrana
49.jpg,64,129,38,38,premanazir,0.16614629328250885,aamairkhan,3408.602294921875,ayushmannkhurrana
49.jpg,168,117,42,42,annapoorna,0.29404154419898987,ramaprabha,3913.150634765625,ayushmannkhurrana
49.jpg,362,18,58,58,jayaprakash,0.04451170563697815,innocent,3919.647216796875,ayushmannkhurrana
50.jpg,156,23,52,52,rajeshkhanna,0.056411124765872955,ntr,3501.302734375,ayushmannkhurrana
